1 famiglia tintura per unito	100/188	2,63	189/399	1,4	400/599	1,26	600/799	1,13	999999999999	0,92		0	
dis. 55506 var.1/3/4/5	camp.	1,6	500/2	0,97	500/3	0,88	1000/1	0,72					Sublitex
Dis.55570 var.2/3/4	camp.	1,6	500/2	0,97	500/3	0,88	1000/1	0,85	1500/1	0,77			Sublitex
Dis.53436 var.1/2/14/15	camp.	1,6	500/2	0,97	500/3	0,88	1000/1	0,85	1500/1	0,77			Sublitex
Dis.53563 var.1/4/6/8	camp.	1,6	500/2	0,97	500/3	0,88	1000/1	0,72	3000/1	0,67			Sublitex
Dis.54205	camp.	1,6	500/2	0,97	500/3	0,88	1000/1	0,85	1500/2750	0,77	3000	0,69	Sublitex
carta tr.Dis. 55428	camp.	1,6		0	0	0	0	0	0	0	0	0	Sublitex
stampa digitale	30 x var.	12	31/60 x var.	10	61/120 x var.	9	121/300 x var.	8,5	301/9999	8		0	TCS
famiglia 32 speciale nuovo kiko 1045	0/399	1,49	400/599	1,37	600/799	1,23	800/999	1,11	1000/1999	0,9	2000/99999	0,85	Tintea
speciale x kyko x 3.3	0/399	4,92		0		0		0		0		0	Tintea
1 famiglia tintura x unito	60	5,5	100/214	3,3	215/399	1,8	400/599	1,64	600/799	1,49	800/99999999	1,26	Tintea
3 famiglia tintura x unito	60	5,5	100/180	3,3	181/399	1,93	400/599	1,75	600/799	1,57	800/9999	1,29	Tintea
8 famiglia tintura x unito	60	5,5	100/148	3,3	149/399	2,35	400/599	2,14	600/799	1,92	800/99999999	1,57	Tintea
4 famiglia tint. x unito 2 fibre	60	5,5	100/180	3,3	181/399	1,93	400/599	1,75	600/799	1,57	800/99999999	1,29	Tintea
7 famiglia tintura x unito	60	5,5	100/166	3,3	167/399	2,1	400/599	1,9	600/799	1,72	800/99999999	1,41	Tintea
2 famiglia tintura x reattivo	60	5,5	100/148	3,3	149/399	2,35	400/599	2,14	600/799	1,92	800/99999999	1,57	Tintea
2 famiglia tintura x diretti	60	5,5	100/166	3,3	167/399	2,1	400/599	1,9	600/799	1,72	800/99999999	1,41	Tintea
5 famiglia tintura x unito	60	5,5	100/154	3,3	155/399	2,25	400/599	2,04	600/799	1,84	800/99999999	1,5	Tintea
6 famiglia tintura x unito	60	5,5	100/208	3,3	209/399	1,84	400/599	1,68	600/799	1,54	800/99999999	1,29	Tintea
4 famiglia tint. x unito 1 fibre	60	5,5	100/218	3,3	219/399	1,6	400/599	1,44	600/799	1,3	800/99999999	1,07	Tintea
5 famiglia double tintura x unito	100/144	6,6	145/399	4,51	400/599	4,09	600/799	3,58	800/99999999	2,92			Tintea
9 famiglia tintura x unito	60	5,5	100/180	3,3	181/399	1,93	400/599	1,75	600/799	1,57	800/99999999	1,29	Tintea
10 fam.purga +spianatura	100/399	0,91	400/599	0,83	600/799	0,77	800/99999	0,67					Tintea
11  famiglia tintura x unito	60	5,5	100/159	3,3	160/399	2,19	400/599	1,98	600/799	1,78	800/99999	1,46	Tintea
